University, subtree or dataverse, Province
Algoma University, algoma, Ontario
Sunnybrook Research Institute, sunnybrook, Ontario
Acadia University, acadia, Nova Scotia
Athabasca University, athabascau, Ontario
Bishops University, bishops, Quebec
Brandon University, brandon, Manitoba
Brock University, brock, Ontario
Cape Breton University, capebreton, Nova Scotia
Carleton University, carleton, Ontario
Concordia University, concordia, Quebec
Dalhousie University, dal, Nova Scotia
Durham, durham, Ontario
ENAP L'École nationale d'administration publique, enap, Quebec
École de technologie supérieure ÉTS, ets, Quebec
CEGEP Federation, federationcegeps, Quebec
Fanshawe College, fanshawe, Ontario
Georgian College, georgian, Ontario
HEC Montreal, hec, Quebec
Institut national de la recherche scientifique INRS, inrs, Quebec
Lakehead University, lakehead, Ontario
Laurentian University, laurentian, Ontario
MacEwan University, macewan, Alberta
McGill University, mcgill, Quebec
McMaster University, mcmaster, Ontario
Memorial University, memorial, Newfoundland
Mount Allison University, mta, New Brunswick
Mount Royal University, mru, Alberta
Mount Saint Vincent University, msvu, Nova Scotia
Nipissing University, nipissing, Ontario
Ontario College of Art and Design OCAD, ocad, Ontario
Ontario Tech University, ontariotechu, Ontario
Polytechnique Montreal, polymtl, Quebec
Queens University, queens, Ontario
Royal Military College, rmc, Ontario
Royal Roads University, rru, British Columbia
Saint Mary's University, smu, Nova Scotia
Saint Francis Xavier University, stfx, Nova Scotia
Thompson Rivers University, tru, British Columbia
Toronto Metropolitan University TMU, tmu, Ontario 
Trent University, trent, Ontario
Trinity Western University, twu, British Columbia
Universite de Montreal, montreal, Quebec
Université de Saint-Boniface, USB, Manitoba
University de Sherbrooke, udes, Quebec
UQAC Université du Québec à Chicoutimi, uqac, Quebec
UQAM L'Université du Québec à Montréal, uqam, Quebec
Université du Québec en Abitibi-Témiscamingue, uqat, Quebec
Université du Québec à Rimouski, uqar, Quebec
Université du Québec à Trois-Rivières, uqtr, Quebec
Université du Québec en Outaouais, uqo, Quebec
Université Laval, laval, Quebec
Université TÉLUQ, teluq, Quebec
University of Alberta, ualberta, Alberta
University of British Columbia, ubc, British Columbia
University of Calgary, calgary, Alberta
University of Guelph, guelph, Ontario
University of Lethbridge, lethbridge, Ontario
University of Manitoba, manitoba, Manitoba
University of Northern British Columbia, unbc, British Columbia
University of Ottawa, ottawa, Ontario
University of Regina, regina, Saskatchewan
University of Toronto, toronto, Ontario
University of Victoria, uvic, British Columbia
University of Waterloo, waterloo, Ontario
University of Windsor, windsor, Ontario
University of Winnipeg, uwinnipeg, Manitoba
Vancouver Island University, viu, British Columbia
Western University, western, Ontario
Wilfrid Laurier University, laurier, Ontario
York university, york, Ontario


